blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
12540911,1622447781,0x40de57e9ecbbe196ccb6febd00a5226eb4052674798f5632f63f5fe589c1c507,619,0x01ed8297b26f166bfd4053a73a71cdf40f988fc4f8839c7a770906334c088762,0xfee8e76c8d422921f76b0c10c47bb7ac43767eef,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,50000000000,Tether USD,USDT,6,147,108181,20000000000,100712,8930449,deprecated,47422
12540914,1622447799,0xb0de5cc930e5d3431ecab7ae8de9e9c5d8a10751eb015ff2a9dc8b0bfdff0a06,146,0xd80a2ac4e21d71c21b5ea0dea57430b22da7bdbb1394de5a37b505031c06268a,0xd15f82fb56e2e6f42c85d7bdb008abbf479b55a9,0x6b175474e89094c44da98b954eedeac495271d0f,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,54000000000000000000000,Dai Stablecoin,DAI,18,133,203002,19000000000,132210,11769547,deprecated,47419
12540914,1622447799,0x1cb6603111391c0cc4f96cb138ac046e0685bc9722c985f10ff305595f477492,7,0xd80a2ac4e21d71c21b5ea0dea57430b22da7bdbb1394de5a37b505031c06268a,0x45f6a006ab3d6cfdd9384d338416b3af1eb31b40,0x2c31b10ca416b82cec4c5e93c615ca851213d48d,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,67408098376256408222629,Force DAO,FORCE,18,148,110187,19000000000,87718,12841437,deprecated,47419
12540916,1622447806,0x37ca7f5756b5074b4e2cafc3e4e95d8888ff6d52e300284e89423c0b497e057b,612,0x359800392d5834d2631055902bb00436c281e4940c70ef248dc38b036453226a,0x663759b2a4058d14fe5d7d5555bf0c429c3006ed,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,10509840846605,HEX,HEX,8,226,102268,30000000000,79799,7389687,deprecated,47417
12540919,1622447850,0xf0a2f908250bf64a2c31182b2cebbf32a107101bbb228715b67d732b0af0043d,400,0x1bbe4c1da732d0fd5e0f392def09fd52b5223df7b66b92f1ba7f12a2e2e9cf75,0xe558619863102240058d9784a0adf7c886fb92fc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,51509658436,USD Coin,USDC,6,187,126156,24100000000,92218,8716082,deprecated,47414
12540920,1622447873,0x524860d8ae82ff1d2d4ed948dcc2fd214ec92e62fcf42184f5250c0c5b802c9e,52,0xf6739faed3eff5c07f20ab34fa95efb4bdce10a3afbf0bf18c75b7caed5f23f2,0x2bfcfac2b260c91820e2f3bad68e8f0ee03d6272,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,52989000000,Tether USD,USDT,6,273,108193,23000000000,85724,13602229,deprecated,47413
12540924,1622447979,0x7ea52bae97988db4a6197ebb1ec7b9c1c6650f0dc88aec950dad674231a5ff88,3752,0xaccccbfe2decb570fd4c6cf0b9b633dcbd95592624f07df81150d485fca6c4c8,0x760497bffaed0850eb7db38b5a28abc3b1c656e7,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,9486987142341,HEX,HEX,8,142,102268,23000000000,79799,10641366,deprecated,47409
12540926,1622447993,0x85369937cd84e0b3276c49379584eab3d53e3351b44b0b1539fa6d857f2df593,117,0xf2c65f32d14631481a1a8eccfb4467b2ce964042c0e7f7cf23f24b06162cbe21,0x0e9dd59448f53fa240dfd7a217f58d4d5efaff16,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,340464146,Tether USD,USDT,6,275,108181,23000000000,85712,14667153,deprecated,47407
12540928,1622448031,0x8ff3c5cf308090f1976ed10e6a98ea45db0298f9df9943eec160f0e3b7a37f40,33,0x2adb972f8f95f3265d52f64f1861bf43039de0be32be6ad12804c2093053e66a,0xe9a5120ce5775a302d1cc316c3a18e2524a167c0,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,123608768739,Tether USD,USDT,6,72,108193,21000000000,85724,7087951,deprecated,47405
12540932,1622448092,0x56069e6aa946b1ec3dd4c6274736d8b22ab1a5bc19295378023b0ca389e7f29d,237,0x0ed3a6115de133f08b72dde673301a3bf98889883eee7db2fcd0e407ca3b8801,0x9de5fb2e82681cbf0f9885b2e17c7aadaf7c6a32,0x675bbc7514013e2073db7a919f6e4cbef576de37,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,100000000000000000000,Coldstack,CLS,18,41,102475,24000000000,80006,3822111,deprecated,47401
12540932,1622448092,0x3c7f6c3d9b452733d500aff743d9f7eb7ffc6afdc22298e6036ced4143897b18,586,0x0ed3a6115de133f08b72dde673301a3bf98889883eee7db2fcd0e407ca3b8801,0xc43a8728ef24a7306c30330a277e46c382d32148,0x6b175474e89094c44da98b954eedeac495271d0f,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,1079648705620000000000,Dai Stablecoin,DAI,18,58,97249,23000000000,74780,5679071,deprecated,47401
12540945,1622448263,0x31b479921ad5861012d65ce243f5815e6392b9499cf16e7b186713d8c88e0adb,423,0x482b1c44077054a6a98d71e479667484f8de4c759d4d155c7cbb372496325738,0xb2f1a288e6bf497e3b41adf23a4a89896069d1f6,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,972411076070000000000,SushiToken,SUSHI,18,142,102311,26000000000,79842,6302852,deprecated,47388
12540948,1622448290,0x65518dca11ba7c2c146259960cafe7d28a43cda6813305c7e9fb488d57d26fd8,305,0x9a132f923ca8796efcf9d2dda2313147e37d1b7569abe0249308058f2eba9cdf,0x231e58b0e5f117ee418b4d21459a26310df147dd,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,2559187631200690218,Aave Token,AAVE,18,194,251903,18000000000,229434,12903934,deprecated,47385
12540955,1622448336,0x4a9244a20741c12c2ddf46870533e7453fb172248006dfa4cb0555e1b6a17701,238,0xcdb6c8659eaed73b962db68ece234434aa170c68b14d74e3c4a58fc2f59f0a73,0xdae2ad9b0df4397bbafcdd3eabb15fca627a1be6,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,29968000000,Tether USD,USDT,6,11,108181,22000000000,85712,480667,deprecated,47378
12540956,1622448337,0x87d920961dca27dd91bed42404bc668998907cf8847e9467f4b8b88297d8b8a7,184,0x7e7d12857b0d793ee08040df2d1d48f42a3c2baacc0bb0bb883ef49e3c3c1e7f,0x669e72414b03aa0149f74cf5f6b4cdf0b054dc9e,0xc944e90c64b2c07662a292be6244bdf05cda44a7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,9955000000000000000000,Graph Token,GRT,18,44,102308,22000000000,79839,1625055,deprecated,47377
12540957,1622448345,0x4af5fa083d7b30cb7e5d9ed2357b8a225f4ecade1007506d1e45ec02e15c90bb,1048,0x1511e08be4a27ae2ede9f2b158c5ced510f0ff40ff4d0c3ce562668cff962b15,0xd5abc28887ed3059606056ca1856fbddb80f35a7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,1010000000,USD Coin,USDC,6,65,114675,18000000000,92206,4829754,deprecated,47376
12540975,1622448612,0xa076c0d992a162076166152ed724a3ad7bab0698e402e4865df174353cbfeaff,414,0xce556ae583732e1057242b77bd623bd98f5fe50a1f45677303992c3c0d19e3fd,0x9c593123ec98b812c320306bfb1a8c3d21b8cdee,0xcc4304a31d09258b0029ea7fe63d032f52e44efe,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,7047185105575373376663,TrustSwap Token,SWAP,18,119,118904,24000000000,96435,5236654,deprecated,47358
12540983,1622448698,0x86dbeb88779f0bbab6335f6d510f9ddb556a2f7c482986e4a7bd8a41fb36a86a,243,0xe65c59399dc97b5db3833ecf0a67f4a6f0d84750b9adad40014b8c057801de91,0xd950b9a4f667184c386b0c57311784c762d591b6,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,3741344416,Tether USD,USDT,6,54,108169,16000000000,85700,4231012,deprecated,47350
12540987,1622448733,0x2f6529a3375a7f61e005b67d3b539318f92302ff82faf2e6a515713d40107c8e,6,0x43a6ff4af4d77b7bf11bda2e04594ed07a2c16bc5590ccf3bae686af6e42cfc4,0x5dd5aecce7c12f1e78c09341c84dbb14414e7411,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,698869685,USD Coin,USDC,6,217,114675,17000000000,92206,11984669,deprecated,47346
12540987,1622448733,0xe4247b0eb9b551066fce1d769abffc49cd6417c019d2ab75864c2849c8594e27,32,0x43a6ff4af4d77b7bf11bda2e04594ed07a2c16bc5590ccf3bae686af6e42cfc4,0x0371c357c67cf4f65516849b4d5caa7ca43a0b41,0x63f88a2298a5c4aee3c216aa6d926b184a4b2437,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,2637000000000000000000,GAME Credits,GAME,18,244,102213,16000000000,79744,14436230,deprecated,47346
12540988,1622448749,0xa75575d96874b559d4af619c5c8754820390e749134e441dbd97a4c49202c1b6,143,0x77f9f09b358d9786440b43d8f1085825ace4a2a5b9c32860a1cfa29b784e67c2,0x56a3e0a00a158634a6d12f6c73238aafed73bc92,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,39946802717,USD Coin,USDC,6,102,126156,16127030793,92218,4352556,deprecated,47345
12540988,1622448749,0x720c71810cf8cf881a18da2848d716664f878947ca0be1eeefaa8f7f52bd7dc3,9,0x77f9f09b358d9786440b43d8f1085825ace4a2a5b9c32860a1cfa29b784e67c2,0x46a2e3b18c5264074e3b6b63ecbc41be4e731351,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,13667405,Wrapped BTC,WBTC,8,122,103141,15800000000,80672,13567728,deprecated,47345
12540989,1622448754,0xb30bcec72e3ae2c0e20d7c13d26bcc0724306aea3870bc83ecdd00cb990ae799,7,0xbbf6730d483540e6cbc27838f6a08e7ee13540f52d88fd413c7bad94d084673f,0xbf1842a796e14d05b0e90696ea7c107f64c93d2d,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,2291000000000000000,Aave Token,AAVE,18,169,251891,15127030793,229422,11766967,deprecated,47344
12540991,1622448776,0x008d553acf869c32b878a1b16ed004a9e9516bfe708adaad0ddd165630c0e69b,239,0x4015f22f4143e8540932a1dc9f68c05545e6002727fa5d00ad6b96fdf322bfff,0xdae2ad9b0df4397bbafcdd3eabb15fca627a1be6,0x6b175474e89094c44da98b954eedeac495271d0f,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,14039215000000000000000,Dai Stablecoin,DAI,18,111,97261,20000000000,89792,5413517,deprecated,47342
12540994,1622448842,0xd975d9d60f84b3e0197d73090b6c3d5c4b5e02cc719792100588eb38f49aa2b6,96,0x2ebf55e937f8a076f4d6601bdc6e0810e2866c741aad62f839579e609d09db3f,0xf525987f284a43defd3a9a36428201072940efb5,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,100032895999,USD Coin,USDC,6,138,126156,24494000000,92218,9123047,deprecated,47339
12540999,1622448994,0xa5859eb40ef0741cbef7d3de8c1157027589a7109c921479e1610d6dd2358903,2,0xb697c0a8b1062ecf4bb8ace060d05c32fbcf83d061f79b392eb679668bc726e3,0x53b6bde54bdecc355395db338ae4e575cd7e80da,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,2681000,Wrapped BTC,WBTC,8,39,103141,21000000000,80672,4473325,deprecated,47334
12541002,1622449021,0xf7bb98d99be800a88ab112049edbf91877e845519c0dba715a9713775e57d904,629,0x016b5e11e80a447972a24fd33fb9971515b784cf94055477feb43c59cb4b9f66,0x85ace660391c4fb72581bfee3df840eda189e552,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,1643803,Celsius,CEL,4,89,102801,19000000000,80332,5432615,deprecated,47331
12541003,1622449022,0xaea6ad8d58d1108ed69c97cb2086ccee5c791b17c79b88c226bdbe12190e436a,86,0x6bde2eb96f505a4d890a98adbf596c0e63e4f589c205c9f14f76dd12f7654372,0x92fc173569efa83cd810c018f497b59854d110db,0x6c28aef8977c9b773996d0e8376d2ee379446f2f,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,2854728630154902577,Quickswap,QUICK,18,34,98605,23000000000,76136,1314121,deprecated,47330
12541003,1622449022,0xc94f8e5d54e52afe22b522712351d3c0b3e70b6732f32cb342364a579f1eb0a1,16,0x6bde2eb96f505a4d890a98adbf596c0e63e4f589c205c9f14f76dd12f7654372,0x030bb8cf8971b4c15ccedbfd6179ea4d51420499,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,1990000000,USD Coin,USDC,6,304,114675,18000000000,92206,10642278,deprecated,47330
12541011,1622449073,0x7c88c8fc143c76caad9a5a48e818f681296d620b3a479d4fea5a3400b93b2b90,179,0x7d46e01fb9adc10e8e9c126003f46e91e39ab8fa6a9ec172b363f0fda0e3499b,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0x514910771af9ca656af840dff83e8264ecf986ca,0xf264785d0f9c99fecb8a61753963fe66c8ea61af,47485039900987969373,ChainLink Token,LINK,18,56,309837,22000000000,294119,3621596,deprecated,47322
12541014,1622449097,0x2ff26453d1ca27afcb6b7b6c6e49eb03d79b00076a402e530fb93db0809004c7,327,0xc6dbe499aa81821499e6618df8dd14753f512ed1b141990ce392a04443923fae,0xa0308ce582b8020b5279bdcbecef025ca98531ad,0x6c28aef8977c9b773996d0e8376d2ee379446f2f,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,1000000000000000000,Quickswap,QUICK,18,137,98581,20000000000,91112,7238228,deprecated,47319
12541015,1622449112,0xcf21c99fd651dc9542ad26ccd47554652a4f3c5f39a93899072ccddb29efb9f0,3754,0xa41203a86c0397aab967e0c0d4fd0cd4ae198a574a46058c07a283a623e39c45,0x760497bffaed0850eb7db38b5a28abc3b1c656e7,0x4c6ec08cf3fc987c6c4beb03184d335a2dfc4042,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,1790102210431976052458902,Paint,PAINT,18,145,102144,22000000000,79675,9447239,deprecated,47318
12541021,1622449198,0x9065c640cbd1bd888e892ef400f0f9157c2d32674c61b9895915e2bbfd5e1aa8,174,0x5f663fef246416810045abe39178216080367ef1daebd16fb19204e807372b92,0x203b88ddfebcbe1135383d6961438069e5bc8d33,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,45000000000,Tether USD,USDT,6,263,108181,20000000000,85712,13702524,deprecated,47312
12541023,1622449228,0xf3ed95bc72d4e1209ef0135f9822ad88d7aaf684319ff1d1b1a5f0d5aa5f7597,12,0x9d69286e7056a4c6480e4bf5fde024999078cf1a9921a7dce1332b9cdad501c0,0xaad8c30ac47dbbcdff8990ec960a81ae14235544,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,505000000,Tether USD,USDT,6,116,111375,17000000000,88906,8016296,deprecated,47310
12541028,1622449248,0xed9ce39b572f4cfa2c37360f3f4390dcea864e015399fe8e9a0cf453887f6f67,4,0x782a687593b8f1759d972fcb62323a4b45d88bc9eddf8ffc19fec166122acee7,0x25f6515988be80f0f4aa8afd4e7638c92d4322ae,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,8380000000,USD Coin,USDC,6,364,114675,15400000000,92206,13862718,deprecated,47305
12541028,1622449248,0xcf18114e9df20a8d21be0c5a6500f8f7d1d26f9336c0f1a74321ec4d972b78c8,1,0x782a687593b8f1759d972fcb62323a4b45d88bc9eddf8ffc19fec166122acee7,0x2382637bec698d602dbf5df54e40d95411800449,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,298000000,Tether USD,USDT,6,372,108181,15400000000,85712,14695751,deprecated,47305
12541043,1622449430,0xf931772c3a7ebaa16b823a3f9743b5d655cb1d319db66e67b3a14d5debd614db,116,0x5cc683f4402c1da110b771e3bd9f283e80bcbf3687c017b0531ea06354980f1d,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xb3f09f6d5d1d22579383e56123b7c360f343e255,417371483337033825368,Uniswap,UNI,18,190,284565,17127030793,268684,14908949,deprecated,47290
12541044,1622449444,0xecbb88ecb34b4f9da84151ade124dc4fdfd37e6c005be70155e7b83e9f3d70d2,195,0x1a5c213dea4e6af350751600045ab6eb272d67bb89584b307407c8673221fa26,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x03c2bfd2509de9b13d0124015077e100a292336d,40000000,USD Coin,USDC,6,65,275763,20000000000,259883,4440600,deprecated,47289
12541048,1622449468,0x1305c20fb3ee7cc94a8650d2f7e27b0e85a2afb062d86a2ecbd729fa56acf68d,65,0x8e006771916fa9f2f44674519f17b1ad268fba726fcc82e22dc564d4a3b21ee0,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x5a318876db57fce8168ffde153ff7e96c2e0bc40,7578909504673899362,SushiToken,SUSHI,18,17,254219,15400000000,238903,1961164,deprecated,47285
12541049,1622449471,0x8d11c87ce25ee94ccb85d51affc55a966f4739bf18588da36eb1fde026467f04,480,0x7915f3f7a9f8ea6259e1f2898a31e1e8a210944bf2808b777535c8f866648989,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc9848f9146a56b6b5676b06f454a62a06a66cc03,5000000000,USD Coin,USDC,6,50,293100,33000000000,276393,2373153,deprecated,47284
12541049,1622449471,0x5f84fcd61397b4f9520c52db384ea457f7ff5f53c9d5e29f775f10bc2cd06d35,1117,0x7915f3f7a9f8ea6259e1f2898a31e1e8a210944bf2808b777535c8f866648989,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0x853d955acef822db058eb8505911ed77f175b99e,0x5a05bd61f009ae1cb2ee7a3376718923453abe3d,100000000000000000000000,Frax,FRAX,18,58,269033,30000000000,253323,2795897,deprecated,47284
12541049,1622449471,0x3a39a2db3e6eb7c01f25a0bd920a3d368c057bfd9788875f3a0a4e3a28bb77b3,1740,0x7915f3f7a9f8ea6259e1f2898a31e1e8a210944bf2808b777535c8f866648989,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5bb88a5a7958807b966847991a8132fe921284db,52599600370,USD Coin,USDC,6,246,275795,17000000000,259915,12985907,deprecated,47284
12541051,1622449500,0x6ffae9ab8ddafa041a7b7d70ff9631d63284afcecedc835db14bacda4a0c1f02,117,0x1e842edf804e3a57316501b0debee73ed6ce6198cfa9e3a12350377e325bbd91,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0xdac17f958d2ee523a2206206994597c13d831ec7,0xfdd73594dbe376a62d1caaa44b5bd2b813b611cf,1546706190,Tether USD,USDT,6,170,310710,20000000000,295051,8671105,deprecated,47282
12541056,1622449569,0xdbe6dcaf6e0ba3320ce16f13867aa7709479357fe2d6a3ce388015773116185e,35,0x7e2e1f668b9379b6fbf57b009da7ec3a07dcc0ab9c3538cd2660265b0d1fc694,0x9a2291522f5801a47511532554b32ab17bff056c,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,273000000,Tether USD,USDT,6,113,108181,16127030793,85712,9766579,deprecated,47277
12541058,1622449577,0x7497e2a225c940f3dc410e1458ab298ed24d613d738f8bc3f7128655dd4ef2ec,20,0x702b1503f3b22f565b692eed824588cca3b9381cbc00c2399ac01417439575cd,0x276b8a4b41830343ccdd11cb3cf9c2b8bb630e5c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,500000000000,USD Coin,USDC,6,15,114675,20000000000,92206,1156045,deprecated,47275
12541060,1622449593,0xf0e440f1570aa151f7e5e4d8c1f288d552b8ab67bf143a67c21ac2d1a3b325ba,15345,0x6980597f41d63b77a45d8d8dbe30889656122b99f7934ab7e9ee8a67a0c18763,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xbce3bd3b206946abbe094903ae2b4244b52fb4e9,5000000000,USD Coin,USDC,6,124,275853,16127030793,259973,8573512,deprecated,47273
